#{"t_start": 1629124307.6020744, "env_id": "Ant-v3"}
r,l,t
-440.894039,131,0.684889
-59.423484,14,0.700581
-207.132553,44,0.733082
-175.748664,52,0.771628
-92.743332,42,0.804514
-177.074482,57,0.848496
-153.789555,63,0.897226
-534.326629,158,1.015936
-102.148,23,1.039326
-43.268818,29,1.060875
-94.914276,25,1.0806
-192.758582,67,1.130004
-68.363115,20,1.14752
-154.949898,61,1.192455
-283.593462,99,1.267668
-88.223786,34,1.296682
-260.658098,70,1.34954
-294.340219,82,1.412966
-76.168606,23,1.433154
-163.267053,44,1.465641
-138.891845,53,1.506455
-194.123668,60,1.552494
-70.121753,41,1.585029
-3017.045107,1000,2.966884
-262.474325,98,3.077221
-331.485175,92,3.149247
-76.531426,34,3.174944
-433.253516,157,3.291919
-33.966194,27,3.318163
-219.420858,72,3.372394
-301.3107,93,3.44344
-81.967652,23,3.464197
-102.325649,27,3.484198
-260.108123,71,3.536286
-244.501378,80,3.598024
-33.487987,12,3.610179
-215.336707,58,3.65299
-402.856714,119,3.740849
-213.538953,63,3.792019
-133.37577,35,3.818167
-106.374933,31,3.841381
-158.354547,50,3.878462
-108.42542,35,3.906359
-205.400541,79,3.96445
-261.394122,108,4.046829
-56.437713,22,4.067566
-108.173736,37,4.095303
-150.230076,58,4.139463
-308.363543,111,4.223179
-50.143352,15,4.238633
-192.707793,74,4.293068
-124.572598,58,4.338512
-36.016489,13,4.350483
-156.032869,60,4.799719
-78.927546,30,4.824522
-130.395258,43,4.858077
-3044.381902,1000,5.608365
-150.978135,35,5.67241
-123.590473,42,5.703603
-56.109346,26,5.724538
-93.431667,40,5.755032
-56.238506,27,5.776632
-232.964136,76,5.833712
-167.878842,41,5.867188
-51.202406,16,5.880963
-218.009942,81,5.941762
-124.964349,46,5.979146
-74.099498,22,5.997459
-95.839676,52,6.037007
